id,Tweet,Subjectivity,Polarity,Target
19,"Bladdercancer causes over 200,000 deaths per year, and patients remain in need of new therapies that improve long-… ",0.454545455,0.136363636,Positive
20,Strong scientific progress to improve the lives of patients remains a key priority for AstraZeneca – our 2021 Q1 re… ,0.866666667,0.216666667,Positive
21,"At a time that continues to challenge the world like never before, our commitment to advancing science for patients… ",0,0,Neutral
22,"One year ago this week, we joined forces with  to tackle COVID19. The world has changed significantly… ",0,0,Neutral
23,We are honoured to have recently been recognised in the TimesTop50 Employers for Women 2021 list and the  A… ,0.25,0,Neutral
24,Congrats to  who was elected to the  Board of Directors. Susan was featured in ’s… ,0,0,Neutral
25,"Skin diseases like atopic dermatitis, bullous pemphigoid and chronic spontaneous urticaria could be driven by eosin… ",0.9,0.6,Positive
26,Working in partnership with  we are addressing some of the challenges in target discovery by leveragi… ,0,0,Neutral
27,We are catalysing changes in the practice of medicine to transform the patient experience - helping to set new stan… ,0.454545455,0.136363636,Positive
28,Chronic kidneydisease (CKD) can have a significant impact on patients’ day-to-day lives. Through the CKD-Personal… ,0.875,0.375,Positive
29,Our new  paper describes the effect of an endothelial lipase neutralising monoclonal antibody as a novel… ,0.454545455,0.136363636,Positive
30,"Today, on EarthDay2021 and ahead of COP26, EVP Sustainability, Katarina Ageborg joined , … ",0,0,Neutral
31,"Interested in understanding how we’re unlocking the information hidden within the human genome, with the aim of dev… ",0.311111111,0.027777778,Positive
32,"Finding the right target is one of the most important decisions we make in drug discovery. , Henric Ols… ",0.678571429,0.395238095,Positive
33,Are your kidneys healthy? Chronic kidneydisease is often silent and unrecognisable in its early stages. Our new 1-… ,0.338636364,0.184090909,Positive
34,Working side-by-side with   to bring together leading expertise in drug discovery and disease underst… ,0,0,Neutral
35,Chronic kidneydisease (CKD) can have a profound impact on a patient’s personal life. The CKD-Personal Impact Index… ,0.65,0.041666667,Positive
36,"Hyperkalaemia, a potentially serious condition in which potassium levels in the blood are higher than normal, is o… ",0.605555556,0.022222222,Positive
37,Oligonucleotides are a promising therapeutic modality but uptake in pancreatic beta cells is limited. Here we share… ,0.321428571,0.064285714,Positive
38,"As chronic kidneydisease (CKD) worsens, the loss of kidney function can cause complications such as anaemia. If n… ",0.5,0,Neutral
39,At the launch of the COVAX AMC Investment Opportunity today CEO Pascal Soriot stressed the critical need for globa… ,0.8,0,Neutral
40,"At AACR21, we’re advancing therapies designed to selectively target cancer cells. Watch as Mark O’Connor, Chief Sc… ",0,0,Neutral
41,We are empowering the next generation of scientists to drive future advances in STEM. Hear from our Chief Medical… ,0.0625,0,Neutral
42,"The ILC2 program continues to fund innovative, promising and proven projects to close the gaps in the patient exper… ",0.75,0.35,Positive
43,"When trying to repair damaged DNA, cancer cells are vulnerable. Learn how our scientists are targeting this repair… ",0.5,-0.5,Negative
44,"As a key partner in the global COVAX Facility, we’ve supplied more than 37m doses to 100 countries in just over a… ",0.5,0.166666667,Positive
45,This WorldHealthDay we proudly support a joint letter led by    and endorse its recommendat… ,1,0.8,Positive
46,"Reducing carbon emissions is a critical part of our commitment to support patients, healthcare systems and the plan… ",0.8,0,Neutral
47,The YoungHealthProgramme is a core part of our sustainability ambition to make the most meaningful impact where so… ,0.5,0.5,Positive
48,We recently released data from our COVID-19 vaccine US Phase III trial. We maintain our commitment to supplying our… ,0.25,0,Neutral
49,"In the fight against COVID19, it is imperative to develop vaccines that will work in a real-world setting. Here’s… ",0,0,Neutral
50,"We are deeply saddened by the news that José Baselga, EVP Oncology R&amp;D, has passed away. An outstanding scientific… ",0.6375,0.25,Positive
51,"During SGOMtg, we are redefining what it means to live with ovariancancer as we celebrate the lives of these wome… ",0.5,0.136363636,Positive
52,Our latest publication in  presents two novel scores that use deep learning to identify elements in the… ,0.65,0.25,Positive
53,"Join us March 16 as Dave Fredrickson, ,  and a panel of experts discuss improving the effectiveness of… ",0,0,Neutral
54,Chronic kidneydisease is a ‘silent disease’ that too often goes undetected – 9 out of 10 people don’t know they ha… ,0.1,0,Neutral
55,"As a partner of , a world-class life science cluster being built around our R&amp;D centre in Gothenburg, we’r… ",0,0,Neutral
56,"Through earlier prevention, diagnosis and treatment, we can help people with kidneydisease live well. This… ",0.5,0.068181818,Positive
57,COVAX works to ensure everyone has access to a vaccine.     …,0,0,Neutral
58,CEPI’s early investments with  and partnership with  in June 2020 paved the way for their safe an…,0.4,0.3,Positive
59,"Together with our partners,   , we are doing everything possible to ensure people around the… ",1,0,Neutral
60,We ChooseToChallenge gender bias and inequality today on IWD2021 and every day. Empowering colleagues to speak th… ,0,0,Neutral
61,"This International Women’s Day, we’re championing the right for every girl to learn, lead and thrive, and fulfil he… ",0.267857143,0.142857143,Positive
62,"How have health systems adapted to COVID19? Hear from leading experts on health sustainability and resilience, as… ",0,0,Neutral
63,We empower employees to unlock their potential and take control of their career. As part of our commitment to gende… ,1,0,Neutral
64,A collaborative global approach is needed to overcome the COVID19 pandemic. Here’s how we’re working with our part… ,0,0,Neutral
65,People with severe asthma deserve to not be reliant on oral corticosteroids (OCS). See the significant impact OCS h… ,0.875,0.375,Positive
66,Early-stage breastcancer symptom awareness could improve prognosis in the long-term. The 5-year survival rate is ~… ,0,0,Neutral
67,Oral corticosteroids (OCS) have been the mainstay of severe asthma treatment for over 60 years. But the time has co… ,0,0,Neutral
68,We’re working to further expand scientific understanding around the drivers and biological mechanisms of asthma to… ,0.5,0,Neutral
69,"While we have made significant progress in the scientific understanding and management of asthma, the challenge is… ",0.875,0.375,Positive
70,"Methods for genetic mapping have been hotly debated in previous years. In the latest issue of , we… ",0.638888889,0.194444444,Positive
71,We continue to push the boundaries of science to transform the lives of people living with asthma. Our data present… ,0,0,Neutral
72,Breastcancer is a hereditary disease – about 5-10% of cases are thought to be hereditary. Genetic testing can help… ,0,0,Neutral
73,Today marks an historic milestone in the global fight against the COVID19 pandemic with the first COVAX delivery t… ,0.111111111,0.083333333,Positive
74,"We follow the science, without fear of failure, wherever it takes us, in pursuit of the best outcomes for patients.… ",0.3,0.341666667,Positive
75,The  YoungHealthProgramme  Scholars are tackling non-communicable diseases and creating a hea…,0,0,Neutral
76,"While the challenge of asthma in all its forms remains significant, severeasthma continues to be largely misunder… ",0.651785714,0.294642857,Positive
77,"The earlier we can diagnose and treat breastcancer, the better it should be for patients. Knowing your biomarker s… ",0.5,0.25,Positive
78,Our newest  Scholars from the younghealthprogramme are tackling non-communicable diseases and creati… ,0,0,Neutral
79,"We’re embedding sustainability throughout our supply chain. That’s why in 2020, we launched two new supplier diver… ",0.454545455,0.136363636,Positive
80,Recent evidence has highlighted the opportunity to improve asthma management by addressing SABA reliever overuse.… ,0.25,0,Neutral
81,DigitalHealth has the potential to transform clinical trials and improve patient experience and outcomes. To ensur… ,1,0,Neutral
82,DigitalHealth has played a pivotal role in our response to COVID19 and our ambitions in this space are big - from… ,0.45,0.25,Positive
83,"We envision a future of individualised healthcare, driven by data and science. By collaborating with leading health… ",0.125,0,Neutral
84,"Our new collaboration with Mila, the Quebec Artificial Intelligence Institute, brings together leading experts in… ",0.727272727,-0.231818182,Negative
85,"Last year, six of our R&amp;D sites were certified by , who measure best practices for sustainable labs. T… ",0.183333333,0.5,Positive
86,"We envision a future where we help restore our planet to health. As part of our water stewardship efforts, we’ve re… ",0.125,0,Neutral
87,"HeartFailure can be as deadly as some of the most common types of cancers. This HFWeek2021, take time to check in… ",0.466666667,0,Neutral
88,"Our clinical strategy is designed to transform survival. We aim to combat cancer at all stages, but we know that th… ",0,0,Neutral
89,"As part of our continued commitment to ethics and transparency, a key pillar of our approach to sustainability, we… ",1,0,Neutral
90,"Amidst the challenges throughout 2020, we delivered a year of strong results and significant progress for patients… ",0.804166667,0.404166667,Positive
91,Today we’re announcing results from 2020 – a year in which we saw double digit growth as we continued to advance ou… ,0,0,Neutral
92,"In honour of International Day of Women and Girls in Science tomorrow, we asked some of our employees what motivate… ",0,0,Neutral
93,"By working with our suppliers to reduce their emissions, we’re helping drive science-based climate action across th… ",0.1,0.1,Positive
94,"Backed by a growing body of evidence, we’re committed to advancing our understanding of the role of eosinophils in… ",0,0,Neutral
95,Reducing inflammation is key to asthma care. That’s why we’re committed to working with experts who are calling fo… ,1,0,Neutral
96,We are leading a revolution in oncology to redefine cancer care – following the science to understand cancer and al… ,0.1,0,Neutral
97,"Through this collaboration with  Exactmer  and , we aim to develop a scalable, sustainable… ",0,0,Neutral
98,"This WorldCancerDay, we're shining a light on the heroic responses to the pandemic by cancer organisations and individuals aro…",0.8,0.55,Positive
99,"With relentless focus, research and medical innovation, we can beat cancer. WeWontRest in our commitment to improving cancer pr…",0,0,Neutral
100,On WorldCancerDay and every day we unite with the oncology community to ensure millions worldwide continue cancer… ,0,0,Neutral
101,"In collaboration with , , ,  and , through the vaccine programme, we ar… ",0,0,Neutral
102,"The science behind innovative medicines is often complex and becoming more sophisticated each day. Puja Sapra, VP,… ",0.741666667,0.208333333,Positive
103,"As part of the LungAmbition Alliance with the , we have launched a series of recommendations for governments a… ",0,0,Neutral
104,It is estimated that over 176 million asthma attacks occur globally each year. We’re working with the global respi… ,0,0,Neutral
105,"Our aim is to transform care for the millions of blood cancer patients worldwide, including those living with CLL… ",0,0,Neutral
106,"Cervical tumours are highly treatable when detected early, making early intervention important for women with cervi… ",0.535,0.19,Positive
107,LungAmbition Alliance is growing with 50+ countries implementing plans to deliver our vision. With your partnershi… ,0,0,Neutral
108,"When treating lungcancer, every minute counts. By mobilising a multidisciplinary team of experts early in the trea… ",0.3,0.1,Positive
109,"Today, we welcome the positive opinion from the CHMP of the European Medicines Agency on our COVID19 vaccine, and… ",0.481818182,0.342424242,Positive
110,Together with    as part of the LungAmbition Alliance our goal is to accelera… ,0,0,Neutral
111,"Today at  DavosAgenda, DavosAgenda CEO Pascal Soriot emphasised the importance of building resilient healthca… ",0,0,Neutral
112,"As a founding partner of the  Partnering for Racial Justice in Business coalition, we are joining forces with 4… ",0,0,Neutral
113,"Addressing a key challenge in genetic engineering, our latest publication in  describes Xential, a simp… ",0.95,0.25,Positive
114,We join  in offering our deepest condolences to those impacted by today's tragic fire and extend our… ,0.75,-0.75,Negative
115,A diagnosis of eosinophilic esophagitis (EoE) can have a devastating impact on patients’ lives. Hear directly from… ,0.7,-0.45,Negative
116,"Pathology specimens have been used for decades to guide cancer treatment. Now, AI is turning incremental progress i… ",0,0,Neutral
117,"Chronic kidneydisease is expected to become the fifth leading cause of death by 2040, yet many remain undiagnosed.… ",0.45,0.2,Positive
118,"We’re proud supporters of the TerraCarta, which was launched today by HRH The Prince of Wales’ Sustainable Markets… ",1,0.8,Positive
119,Stories like Ginger’s motivate us to follow the science and progress research in eosinophil-driven diseases such as… ,0.5,0,Neutral
120,What is eosinophilic immune dysfunction and how is it playing a central role in driving a broad range of disease pa… ,0.28125,0.03125,Positive
121,Our latest paper in  advances new approaches in immunotherapy combination strategies. Engineering dual immu… ,0.677272727,0.318181818,Positive
122,Eosinophilic esophagitis is one of a range of inflammatory diseases where understanding the role of eosinophils cou… ,0,0,Neutral
123,Discoveries in biomarker testing and targeted medicine are the future of lungcancer care. Early detection through… ,0.2125,0.05,Positive
124,For a vaccine to progress from inception to authorisation in less than 12 months demonstrates WhatScienceCanDo. Th… ,0.066666667,-0.166666667,Negative
125,"In 2020, teams across AstraZeneca have risen to the challenges COVID19 has posed to global health. Today’s advance… ",0,0,Neutral
126,"COVID19 has had an enormous impact on cancer care. As we head into a new year, we reiterate our urgent message: Do… ",0.677272727,0.068181818,Positive
127,2020 in Focus: The YoungHealthProgramme shows resilience and flexibility in the face of the pandemic by finding ne… ,0,0,Neutral
128,"While for many of us the holidays are a time to switch off, cancer doesn’t take a break. This holiday season we mus… ",0.5,0.5,Positive
129,"Thank you , , ,  and  for your partnership to help ensure equitable vaccine…",0,0,Neutral
130,"Despite affecting an estimated 384 million people worldwide, COPD remains underserved. The COPD Patient Charter aim… ",0,0,Neutral
131,"In our latest paper in  with    , we propose a new ph… ",0.677272727,0.318181818,Positive
132,"COVID19 is having a negative impact on ovariancancer diagnoses. Now more than ever, we're working with the health… ",0.45,0.1,Positive
133,ILC2 is a global funding opportunity that supports patient and caregiver organizations on projects to transform pat… ,0,0,Neutral
134,Our new  paper with  University describes the role of rare genetic variations and genetic commo… ,0.677272727,0.218181818,Positive
135,By 2025 we will plant 20 million trees in Indonesia as part of our AZ Forest reforestation programme. This initiat… ,0,0,Neutral
136,Meet the 10 Young Leaders catalysing a global movement toward better health as part AstraZeneca's partnership with… ,0.3,0.2,Positive
137,"Environmental protection in R&amp;D is focused on four key areas: our pipeline, sites, how we operate our labs and how… ",1,0,Neutral
138,"In acquiring , we’ll enhance our presence in immunology, rare diseases and precision medicines to dri… ",0.9,0.3,Positive
139,"$AZN to acquire , accelerating the Company’s strategic and financial development $ALXN… ",0,0,Neutral
140,Everything we do in R&amp;D has a critical role to play in managing and reducing our environmental impact. We are const… ,0.8,0,Neutral
141,Survival can depend on both the site and number of metastases in HER2-positive breast cancer. The control of breast… ,0,0,Neutral
142,This year at SABCS20 we are presenting data from our robust pipeline of potential medicines with promise for redef… ,1,0,Neutral
143," is excited to announce our Inaugural Event, online on 22 January at 2pm GMT. We’ll explore new horizons in machinelear…",0.602272727,0.255681818,Positive
144,Understanding both the level of HER2 in a breast tumour and the presence of hormone receptors can help determine th… ,0,0,Neutral
145,The diversity of perspectives and experiences across AstraZeneca are what help us to push the boundaries of science… ,0,0,Neutral
146,"Many factors determine the degree to which a vaccine is effective, including broad, timely and equitable access for… ",0.5375,0.3875,Positive
147,"Targeting the right proteins can increase the effectiveness of cancer therapies. At ASH20, we’re connecting with t… ",0.535714286,0.285714286,Positive
148,For the fifth consecutive year we have been recognised by  as one of only three companies to achieve double A r… ,0.5,0,Neutral
149,"Amidst the COVID19 pandemic, we are faced with challenging circumstances but also unique opportunities to evolve c… ",1,0.4375,Positive
150,Labs at all of our core R&amp;D sites have now been certified by  at Gold level or above. Find out how we’… ,0.1,0,Neutral
151,"At ASH20, we’re working to support chronic lymphocytic leukaemia patients and to reduce the challenges those livin… ",0,0,Neutral
152,"We are collaborating with haematology clinicians, researchers, advocates and industry partners at this year’s… ",0,0,Neutral
153,We’re at ASH20 because we’re committed to better treatment outcomes for bloodcancer patients. Watch … ,0.5,0.5,Positive
154,"Today we wrapped up PowerofDiversity week, and we are energised to continue our work fostering an inclusive cultur… ",0,0,Neutral
155,"Heartfailure disproportionately affects older people, with more than 80% of cases in patients aged 65 or older. Th… ",0.391666667,0.183333333,Positive
156,Our commitment to delivering life-changing medicines has never been stronger. Read how we’re making patients and th… ,0,0,Neutral
157,"In a new  publication, with ,  and , we explored the role of a… ",0.454545455,0.136363636,Positive
158,Recent research and clinical breakthroughs have enabled women with ovarian cancer to have better outcomes than in… ,0.375,0.25,Positive
159,Thank you  for naming AstraZeneca Company of the Year. This recognition energises our people to continu… ,0,0,Neutral
160,"Science holds its own lessons about the PowerofDiversity, and we follow the science every day. Learn about the fas… ",1,0.6,Positive
161,"Varying potassium levels between dialysis sessions can put people with CKD at risk of hyperkalaemia, or elevated… ",0,0,Neutral
162,Inclusion and diversity are part of who we are and we’re celebrating the PowerofDiversity all week with our coll… ,0,0,Neutral
163,We cannot allow COVID19 to undo the progress that has been made in lungcancer by further delaying screening and t… ,0.5,0,Neutral
164,"Demand for telemedicine across Europe now has a solution, to potentially improve outcomes and quality of care. HAYA… ",1,0,Neutral
165,"Treating individuals with lungcancer based on ‘who’ they are, not ‘where’ their cancer is located, is improving pa… ",0,0,Neutral
166,"Inclusion and diversity are part of our DNA. Our Executive Vice President, HR, Fiona Cicconi, reflects on our pro… ",0,0,Neutral
167,. found 70% of European oncology experts see disparities in access to lungcancer diagnostics and trea… ,0,0,Neutral
168,"The festive season is an opportunity for reflection, spending time with family &amp; for some, a reminder that they can… ",0,0,Neutral
169,Precisionmedicine targets genetic or molecular features of a patient’s cancer. Testing for these biomarkers– such… ,0,0,Neutral
170,This LungCancerAwarenessMonth is different. Dave Fredrickson – our Global Head of Oncology – and a panel of expert… ,0.3,0,Neutral
171,Most hospitalisations for RSV occur in infants who were born at term &amp; are otherwise healthy. Hear more on how to… ,0.5,0.5,Positive
172,"To all the COVID19 vaccine clinical trial participants, scientists and clinicians – we thank you. As a result of y… ",0,0,Neutral
173,"We have been steadily laying the groundwork required for the swift supply of our potential COVID19 vaccine, should… ",0.75,0.083333333,Positive
174,Today we announced high-level results from the AstraZeneca  COVID19 vaccine clinical trials.… ,0,0,Neutral
175,Oral corticosteroids (OCS) play an important role in the management of SevereAsthma but can cause significant heal… ,0.9375,0.3875,Positive
176,"Does it matter if Heather smoked? Nope. Get the facts at  

LungCancer TheWrongQuestion …",0,0,Neutral
177,"What a privilege to facilitate such thought-provoking discourse. Many thanks to Dr Herbst, Dr Baird and Dr Stiles f… ",0.375,0.275,Positive
178,"A large proportion of PancreaticCancer cases may harbour gene mutations, both those that are inherited and that oc… ",0.428571429,0.214285714,Positive
179,“Did you smoke?” &lt;-- the WRONG question to ask lung cancer patients. The answer doesn’t matter. They deserve a fighting…,0.9,-0.5,Negative
180,"During the current COVID19 global health crisis, people living with lungcancer and their loved ones have question… ",0.4,0.233333333,Positive
181,"More people are getting and dying from pancreatic cancer globally and the incidence varies between regions, with Eu… ",0.25,0.25,Positive
182,“There are many challenges that we face in the chronic management of COPD.” Read the COPD Patient Charter to learn… ,0.5,0.5,Positive
183,Immunogenicity is complex measure of how well a vaccine works. As we learn more about the immune system response to… ,0.45,0.1,Positive
184,"On World COPD day, we are proud to announce our partnership with  to launch CONQUEST, a first-of-its-kind qu… ",1,0.8,Positive
185,We’ve worked with major academic medical institutions to launch an oncology genomic collaboration in… ,0.166666667,0.020833333,Positive
186,Proud to support  launch the COPD Patient Charter outlining six principles of quality care people with COPD… ,1,0.8,Positive
187,Today is the national launch of HealthyHeartAfrica in Uganda. Discover how we will work with … ,0,0,Neutral
188,"What does the future of oncology look like? HAYA improves outcomes, quality of care and the experience of cancer pa… ",0.125,0,Neutral
189,"Join us for GAAPP's World COPD Day Webinar tomorrow! The FB Live Event with panelists Dr John Hurst—UK, Dr Mohit Bhutani--CA and…",0.5,0.136363636,Positive
190,"The Circular Bioeconomy Alliance, established today by HRH The Prince of Wales , champions a movement… ",0,0,Neutral
191,"We have once again been recognised by the Dow Jones Sustainability Index, further demonstrating the progress we’re… ",0.5,0,Neutral
192,"About 1 in 4 strokes are recurrent, with the risk particularly high within the first 30 days. Effective and early t… ",0.493333333,0.2775,Positive
193,"Together with  and , we’re launching the Partnership for Health System Sustainability and Resil… ",0,0,Neutral
194,Patients with heartfailure need new approaches to improve clinical outcomes and decrease the risk of mortality or… ,0.454545455,0.136363636,Positive
195,"If you're a healthcare professional treating chronic lymphocytic leukaemia (CLL) patients, it's important to under… ",0.55,0.25,Positive
196,We’re committed to expanding our research to transform care for patients with severeasthma. Learn about how we’re… ,0,0,Neutral
197,"As the prevalence of diabetes continues to rise worldwide, nurses play an increasingly important role in helping p… ",1,0.4,Positive
198,The YoungHealthProgramme Thailand is proud to work with young people to reduce and prevent risk behaviours that can lead…,0.7,0.45,Positive
199,The YoungHealthProgramme Kenya is proud to work with young people to reduce and prevent risk behaviours that can lead to di…,0.7,0.45,Positive
200,The YoungHealthProgramme India is proud to work with young people to reduce and prevent risk behaviours that can lead to d…,0.7,0.45,Positive
201,"Chronic lymphocytic leukaemia (CLL) impacts everyone differently, but common physical and emotional hurdles may oc… ",0.473214286,-0.075,Negative
202,People with chronic kidneydisease gradually lose kidney function but may not know they have CKD until later stage… ,0,0,Neutral
203,"Severe, poorly controlled asthma can be debilitating and potentially fatal. We’re leveraging our longstanding heri… ",0.8,-0.2,Negative
204,Examining our assumptions of others is vital to making systemic change. Nearly 80% of people believe lungcancer is… ,0.4,0.1,Positive
205,"Our HealthyHeartAfrica program has officially screened over 30,000 pregnant and postpartum women for hypertension in…",0.5,0.333333333,Positive
206,"People living with cardiovascular, renal and metabolic diseases are at high risk of serious complications, includin… ",0.603333333,-0.086666667,Negative
207,"Virtual SITC2020 means experiencing all the exciting science from home this year. Join Jill Walker, Head of Immuno… ",0.8,0.3,Positive
208,"Charles’s story highlights how even as lungcancer awareness increases, stigma is still a problem for patients. Acc… ",0,0,Neutral
209,Calling all lungcancer organisations: does your idea have the power to transform the lives of patients? We want to… ,0,0,Neutral
210,We’re collaborating with  and  to develop AI and machine learning technologies with the aim of t… ,0,0,Neutral
211,"Patients admitted to hospital with acute heartfailure require urgent care and stabilisation, but the controlled en… ",0.9,0.6,Positive
212,This year the LungAmbition Alliance announced its first set of ILC2 grantees. In honour of… ,0.333333333,0.25,Positive
213,"With our Immuno-Oncology Pipeline, we are redefining cancer management and expanding the therapeutic reach of our… ",0,0,Neutral
214,"As our investment in data science and AI grows, so does our focus on the ethical implications of automating, augme… ",0.6,0.2,Positive
215,Patients living with lupus often rely on prolonged use of oral steroids to treat disease symptoms. Our research be… ,0,0,Neutral
216,To meet potential demand for products to fight COVID19 AstraZeneca is building several regional supply chains with… ,0.5,0,Neutral
217,Crucial biomanufacturing processes need to be quality controlled to create a safe and effective viral-vector vaccin… ,0.766666667,0.366666667,Positive
218,"Looking to pursue a career in science? José Baselga, Executive Vice President, Research and Development Oncology, a… ",0,0,Neutral
219,"Systemic lupus erythematosus can impact many organs, including skin, but innovative research is helping identify n… ",0.75,0.5,Positive
220,"Lifestyle changes such as a maintaining a healthy diet, regular exercise, quitting smoking and reducing alcohol int… ",0.358974359,0.166666667,Positive
221,Scientists around the world are responding to the COVID19 pandemic by investigating several potential ways to prev… ,0.5,0,Neutral
222,Up to 1 in 4 strokes are recurrent. We are at ESOWSO2020 to continue to explore solutions to help prevent subseque… ,0,0,Neutral
223,"By pushing the boundaries of science on the interferon pathway, we can apply this understanding to a broad range of… ",0.3125,0.0625,Positive
224,"Heart failure is a chronic, progressive disease and is often one of the first cardiovascular complications for pat… ",0.316666667,-0.033333333,Negative
225,"Our ongoing efforts to combat COVID19 have generated enormous pride across AstraZeneca, each of us playing a cruci… ",0.9,0,Neutral
226,Today we announced results from a strong third quarter as we continue to execute our growth through innovation stra… ,0.366666667,0.216666667,Positive
227,A Complicated Relationship: OCS and Asthma Care tackles one of the biggest challenges in SevereAsthma: the systemi… ,1,-0.5,Negative
228,Delays in lungcancer diagnosis and treatment must be addressed to improve patient outcomes. The LungAmbition Alli… ,0,0,Neutral
229,"There is a critical need for proper, timely care in the treatment of SevereAsthma, and people with this disease sh… ",0.45,0,Neutral
230,We’re looking forward to sharing our latest research in lupus at ACR20. By exploring the underlying biology of th… ,0.9,0.5,Positive
231,People with SevereAsthma deserve not to be reliant on oral corticosteroids (OCS). Despite once being a mainstay of… ,0,0,Neutral
232,It’s time to welcome a new way forward for cancer care. HAYA is an integrated oncology patient care management pla… ,0.677272727,0.468181818,Positive
233,"At its heart, LungCancerAwarenessMonth is about improving the lives of patients. Each week in November we’ll be ex… ",0,0,Neutral
234,Oral corticosteroids are commonly used to treat systemic lupus erythematosus but can have side effects and lead to… ,0.5,-0.3,Negative
235,COVID-19 has made it difficult for people with livercancer to access care and it may exacerbate liver damage – fur… ,1,-0.5,Negative
236,Our expert panel reflects on how the breast cancer community has been challenged by the COVID19 pandemic. Watch Da… ,0,0,Neutral
237,"There is significant need to improve the standard of care in COPD, reducing the burden this progressive and often… ",0.4375,0.1875,Positive
238,"For this year’s BreastCancerAwarenessMonth, we convened experts from the breast cancer community to discuss the im… ",0,0,Neutral
239,Every person living with lupus has a different experience but there are common symptoms like skin disease. During… ,0.55,-0.15,Negative
240,"COVID19 has delayed breastcancer screening programmes, early detection &amp; management. It’s urgent for women to con… ",0.3,0.1,Positive
241,We’re looking to collaborate with innovators to help transform the way potential new medicines are discovered and… ,0.727272727,0.068181818,Positive
242,We have been a proud advocate of the breast cancer community for over 40 years and this BCAM20 Dave Fredrickson wi… ,1,0.8,Positive
243,"While the world adapts to a new normal, cancer stayed the same. Hear Dr. Adrian Kilcoyne answer the most asked ques… ",0.432386364,0.196590909,Positive
244,The possibility of a delayed breast cancer diagnosis can be a harsh side effect of the COVID19 pandemic. Early det… ,0.5,-0.05,Negative
245,"With lifestyle changes and frequent hospital visits, managing chronic kidneydisease can be overwhelming. Launched… ",0.65,0.3,Positive
246,Before COVID19 the oncology community was making incredible progress against cancer but the pandemic endangers to… ,0.9,0.9,Positive
247,"Announced today, clinical trials for the AstraZeneca  COVID19 vaccine have now resumed globally.… ",0,0,Neutral
248,"How will the events of 2020 change the way medicines are developed for patients? At HLTH2020, José Baselga outline… ",0.3,0.1,Positive
249,Autoimmune diseases like lupus cause the immune system to attack its own tissues and organs. By exploring the unde… ,1,0.6,Positive
250,"Chronic kidneydisease is a growing public health problem, presenting a significant burden for patients and health… ",0.470833333,0.1875,Positive
251,"Anaemia is a common complication of chronic kidneydisease associated with an increased risk of hospitalisation, ca… ",0.5,-0.3,Negative
252,"COPD exacerbations may cause irreversible damage and accelerate disease progression, but they are often under-recog… ",0,0,Neutral
253,Real-world evidence studies can provide crucial insights into current gaps in care and patient needs – ultimately h… ,0.8,0,Neutral
254,"When chronic kidney disease is diagnosed early, it has a significant impact on patient outcomes. It means slowing… ",0.5875,0.2375,Positive
255,"As the renal community focuses on the start of an exciting KidneyWk, we continue to advance our efforts to achieve… ",0.8,0.3,Positive
256,"Today we expand our YoungHealthProgramme in six countries with , our partner to promote healthier lifestyle… ",0,0,Neutral
257,"How will COVID19 impact youth around the world long-term? In partnership with , we're investigatin… ",0,0,Neutral
258,HealthyHeartAfrica shows what can be done when public-private partners work together to deliver global policies at… ,0,0,Neutral
